Latin,English
locus -ī m.,place
inter,"between, among; during (+ acc.)"
pars partis f.,part
volō velle voluī,"wish, be willing"
etiam,"also, even"
agō agere ēgī āctum,"drive, do, act"
terra -ae f.,land
pater patris m.,"father, ancestor"
neque,"and not, nor; neque ... neque, neither ... nor; → nec"
at,"but, but yet"
corpus corporis n.,body
quoque,"also, too"
aliquis -quae -quod,"some, any; si quis, si quid: anyone who, anything that"
sīc,"in this manner, thus; sīc ... ut: in the same way as"
hīc,here
iste ista istud,"that, that of yours; adv. istīc or istūc: over there; istinc: from over there"
urbs urbis f.,city
petō petere petīvī petītum,"seek, aim at"
iubeō iubēre iussī iussum,"bid, order"
vir virī m.,man
bellum -ī n.,war
vīta -ae f.,life
homō hominis m.,human being
tempus -oris n.,time
magis,more
prīmus -a -um,first
ubi,"where, when"
an,or (in questions)
mors mortis f.,death
tam,"so, so much"
eō īre iī/īvī itum,go
arma -ōrum n. pl.,"arms, weapons"
superus -a -um,"situated above, upper"
"nisi, nī","if not, unless"
vincō vincere vīcī victum,conquer
pōnō pōnere posuī positum,"put, place; put aside"
dum,while (+ indic.)
sine,without (+ abl.)
tantus -a -um,"so great, so much; (as pronoun) such a quantity, so much; tantī, at such a price, of such worth"
teneō -ēre -uī tentum,"hold, keep"
causa -ae f.,"cause, reason; causā + preceding genitive, for the sake of"
sequor sequī secūtus sum,follow
crēdō crēdere crēdidī crēditum,believe
accipiō -cipere -cēpī -ceptum,receive
virtūs -ūtis f.,"valor, manliness, virtue"
ante,"before, in front of (adv. and prep. + acc.)"
quaerō -rere -sīvī -sītum,"seek, inquire"
mittō mittere mīsī missum,"send, let go"
amor -ōris m.,love
caelum -ī n.,"sky, heavens"
sub,"under, close to (+acc. or abl.)"
nox noctis f.,night
rēgnum -ī n.,"kingship, kingdom"
populus -ī m.,people
autem,"moreover, but, however"
caput capitis n.,head
mare -is n.,sea
quīdam quaedam quoddam,"a certain one, someone"
māter mātris f.,mother
prō,"for, on behalf of, in proportion to (+abl.)"
quisquis quidquid,"whoever, whichever"
vōs,"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs"
capiō capere cēpī captum,seize
quia,because
dūcō dūcere dūxī ductum,"lead; uxōrem dūcere, marry"
ergō,therefore
nōmen -inis n.,name
quidem,"certainly, at least"
fortūna -ae f.,fortune
novus -a -um,new
gravis -e,"heavy, serious"
longus -a -um,"long, far"
parvus -a -um,small
relinquō -linquere -līquī -lictum,abandon
saepe,often
fīō fierī factus sum,"become, happen, be done"
ōs ōris n.,"mouth, face"
alter altera alterum,other of two
semper,"always, ever"
modo,"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes"
timeō -ēre -uī,"to fear, to dread"
scelus -eris n.,"crime, sin"
dēbeō dēbēre dēbuī dēbitum,"owe, be obliged"
vīvō vīvere vīxī vīctum,live
fātum -ī n.,fate
vocō -āre,call
altus -a -um,"high, lofty; deep"
parō -āre,"prepare, acquire; parātus -a -um, ready"
mīles -itis m.,soldier
medius -a -um,"middle, central"
"inquam, inquis, inquit, inquiunt:",say (used with direct speech)
audiō -īre -īvī/-iī -ītum,"hear, listen to"
annus -ī m.,year
stō stāre stetī statum,stand
vōx vōcis f.,"voice, utterance"
genus generis n.,"origin, lineage, kind"
referō referre rettulī relātum,bring back
sciō -īre -īvī/-iī -ītum,know
mēns mentis f.,mind
reddō -dere -didī -ditum,"return, give back"
licet licēre licuit licitum est,it is permitted (+ dat. + infin.)
sōlus -a -um,"only, alone"
fugiō fugere fūgī fugitum,"flee, escape"
ūllus -a -um,"any, anyone"
nēmō,"no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um)"
nātūra -ae f.,nature
mōs mōris m.,"custom, habit; (pl.) character"
beneficium -ī n.,"service, kindness"
pectus -oris n.,"chest, breast"
fidēs -eī f.,"trust, faith"
patior patī passus sum,"permit, endure"
cūra -ae f.,"care, concern"
īra irae f.,"wrath, anger"
verbum -ī n.,word
prope,"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost"
parēns -ntis m./f.,parent
puer puerī m.,boy
moveō -ēre mōvī mōtum,move
dolor -ōris m.,"pain, grief"
gēns gentis f.,"family, clan"
modus -ī m.,"measure, manner, kind"
via -ae f.,"way, street"
quisque quaeque quidque,"each one, everyone"
amīcus -a -um,friendly
pēs pedis m.,foot
imperium -ī n.,"command, power"
labor -ōris m.,"toil, exertion"
ingēns ingentis,"huge, enormous"
tālis tāle,such
parum,too little
apud,"near, in the presence of (+acc.)"
oculus -ī m.,eye
unda -ae f.,"wave, flowing water, water"
vultus -ūs m.,"look, expression, face"
cadō cadere cecidī cāsum,"fall, be killed"
nātus -ī m.,son
trahō trahere trāxī trāctum,"drag, draw"
sanguis -inis m.,blood
metus -ūs m.,"fear, dread"
"tantum, tantummodo",only
coniunx coniugis m./f.,"spouse, husband, wife"
amō -āre,to love
levis -e,"light, trivial"
duo duae duo,two
ferus -a -um,"wild, fierce; fera -ae f.: wild animal"
poena -ae f.,"penalty, punishment"
castrum -ī n.,"fortress, (regularly plural, castra camp)"
frāter frātris m.,brother
haud,not
malus -a -um,"bad, evil"
iaceō iacēre iacuī,lie
iter itineris n.,"journey, route"
ferrum -ī n.,"iron, iron weapon or implement"
spēs speī f.,hope
puella -ae f.,girl
bene,well
fīnis -is m.,"end, boundary"
gerō gerere gessī gestum,"bear, manage; bellum gerere, wage war"
ne (enclitic),interrogative particle attached to the emphatic word in a question
mōns montis m.,mountain
uterque utraque utrumque,each of two
saevus -a -um,"fierce, raging, wrathful"
lītus -oris n.,shore
soleō -ēre -uī -itum,be accustomed
mīlle (pl.) mīlia,thousand
equus -ī m.,horse
dūrus -a -um,"hard, tough, harsh"
cōgō cōgere coēgī coāctum,drive together
numquam,never
prīmum,"at first, firstly"
morior morī mortuus sum,die
carmen -inis n.,song
tēlum -ī n.,"missile, weapon, spear"
ratiō -ōnis f.,"method, plan, reason"
umbra -ae f.,"shade, shadow"
ars artis f.,skill
tot,so many
dexter -tra -trum,right
sīgnum -ī n.,"sign, standard, mark"
laetus -a -um,"glad, joyful"
quālis -e,of what kind? what?
lēx lēgis f.,law
perīculum -ī n.,danger
exercitus -ūs m.,army
pereō -īre -iī -itum,"perish, be lost"
ventus -ī m.,wind
audeō audēre ausus sum,"dare, be eager"
contrā,"against, opposite (adv. and prep. +acc.)"
aqua -ae f.,water
rapiō rapere rapuī raptum,"seize, tear away"
simul,at the same time
trīstis -e,"sad, solemn, grim"
mūnus mūneris n.,"gift, offering; duty, obligation; (pl.) gladiatorial show"
iuvenis -is m.,youth
adsum adesse affuī,be present
vērō,"in fact, certainly, without doubt"
vester vestra vestrum,your
flūmen -inis n.,"stream, river"
quīcumque quaecumque quodcumque,"who-, whatever"
certus -a -um,"sure, fixed"
placeō placēre placuī placitum,please
vertō vertere vertī versum,turn
servō -āre,"save, watch over"
honor -ōris m.,"honor, glory; office, post"
dīgnus -a -um,worthy
cūnctus -a -um,entire all together
tollō tollere sustulī sublātum,"raise up, destroy"
negō -āre,"deny, refuse"
vetus veteris,old
trādō -dere -didī -ditum,"hand over, yield"
flamma -ae f.,"flame, fire"
lūx lūcis f.,light of day
unde,from where
redeō -īre -iī -itum,"go back, return"
sentiō sentīre sēnsī sēnsum,"perceive, feel, hear, see"
aurum -ī n.,gold
cēdō cēdere cessī cessum,"go, move; yield"
quō,"for which reason; to or in what place; to what end, for what purpose?"
saxum -ī n.,"rock, cliff, crag"
ve,or (postpositive enclitic)
aetās -tātis f.,"age, time of life"
fēlīx -īcis,lucky
loquor loquī locūtus sum,"speak, talk"
quantus -a -um,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price"
coepī coepisse coeptus,begin
igitur,therefore
iūs iūris n.,"right, justice, law"
mūtō -āre,change
inveniō -venīre -vēnī -ventum,find
prīnceps -cipis,"first, chief; (as subst.) leader, person in charge"
ops opis f.,"assistance, resources"
recipiō -cipere -cēpī -ceptum,"take back, receive; sē recipere, betake oneself, go"
sōl sōlis m.,sun
cōnsul -ulis m.,consul
orbis -is m.,circle
ager agrī m.,field
solvō solvere solvī solūtum,"release, set sail"
vitium -ī n.,"flaw, fault, crime"
vulnus -eris n.,wound
inde,"from there, from then"
senātus -ūs m.,senate
ūtor ūtī ūsus sum,"use, consume, employ (+ abl.)"
cōpia -ae f.,abundance
opus operis n.,work
colō colere coluī cultum,"inhabit, cultivate"
quā,"where, how"
tellus tellūris f.,earth
numerus -ī m.,"number, amount"
cōgnōscō -gnōscere -gnōvī -gnitum,"learn, understand"
victor -ōris m.,conqueror
"satis, sat","enough, sufficient, sufficiently"
patria -ae f.,"fatherland, country"
seu,whether
frangō frangere frēgī frāctum,"break, shatter"
cīvitās -ātis f.,"citizenship, state"
nōscō nōscere nōvī nōtum,"learn, know"
proelium -ī n.,battle
ēripiō -ripere -ripuī -reptum,"snatch away, rescue, save"
mundus -ī m.,"world, universe, heavens"
cursus -ūs m.,"course, advance"
vix,scarcely
nāvis -is f.,ship
lacrima -ae f.,tear
hūmānus -a -um,human
mollis -e,"soft, yielding, gentle"
maneō manēre mānsī mānsum,remain
āgmen -minis n.,line of march
glōria -ae f.,"glory, fame"
diū:,for a long time
sīve,whether
tamquam,"so as, just as"
fuga -ae f.,"flight, route"
auris -is f.,ear
aliēnus -a -um,"foreign, strange"
hūc,to this place
legiō -ōnis f.,legion
ostendō ostendere ostendī ostentum,"show, hold out"
socius -a -um,"friendly, allied; socius -ī m.: partner, comrade"
prōsum prodesse profuī,"be of use, do good, help (+ dat.)"
lūmen luminis n.,light
tegō tegere tēxī tēctum,"cover, conceal"
turpis -e,"ugly, unsightly; disgraceful"
voluptās -ātis f.,"pleasure, enjoyment"
adhūc,"thus far, to this point"
grātia -ae f.,"favor, influence, gratitude"
iniūria -ae f.:,"injustice, wrong, affront"
latus -eris n.,"side, flank"
dulcis -e,sweet
extrēmus -a -um,"farthest, situated at the end or tip, extreme"
tēctum -ī n.,"roof; building, house"
ingenium -ī n.,"disposition, ability, talent"
pāx pācis f.,peace
canō canere cecinī cantum,sing
iuvō iuvāre iūvī iūtum,"help, assist; please, delight"
campus -ī m.,"plain, field"
claudō claudere clausī clausum,"close, shut"
doceō -ēre -uī doctum,teach
clārus -a -um,"clear, distinguished"
procul,at a distance
sacer sacra sacrum,"holy, sacred"
mora -ae f.,"delay, hindrance"
longē,"far, far off"
super,over (adv. and prep. +acc.)
errō -āre,"go astray, wander"
sēdēs -is f.,"seat, abode, habitation"
cūr,why?
coma -ae f.,"hair, tresses"
aiō,"say, affirm, say yes; ut āiunt: as they say"
gaudeō gaudēre gāvīsus sum,rejoice
beātus -a -um,"happy, blessed, prosperous, fortunate"
vērus -a -um,TRUE
incipiō -cipere -cēpī -ceptum,begin
vestis -is f.,"garment, robe, clothing"
similis -e,"like, similar"
caedēs -is f.,"killing, slaughter"
ōrdō -īnis m.,"order, rank"
optō -āre,"choose, select"
virgō -inis f.,"maiden, virgin, girl"
legō legere lēgī lēctum,"gather, choose, read"
aura -ae f.,breeze
impetus -ūs m.,attack
fōrma -ae f.,shape
praestō -stāre -stitī -stitum,"excel, exhibit"
aequor aequoris n.,"level surface, sea, plain"
misceō miscēre miscuī mixtum,mix
spatium -ī n.,space
tandem,finally
īnferus -a -um,low
metuō metuere metuī,"to fear, to dread"
temptō -āre,"try, test"
trānseō -īre -iī -itum,go across
ultimus -a -um,"farthest, final, last, ultimate"
addō -dere -didī -ditum,give to
grātus -a -um,pleasant
laudō -āre,praise
nōndum,not yet
impōnō -ere -posuī -positum,"put in, put on, impose, levy upon"
somnus -ī m.,"sleep, slumber; (pl.) dreams"
aciēs -ēī f.,edge
cupiō -ere -īvī -ītum,desire
exspectō -āre,"watch, wait, expect"
compōnō -pōnere posuī positum,"build, construct, arrange"
laus laudis f.,"praise, glory"
absum abesse āfuī,"be away, absent"
ūsus -ūs m.,"use, experience"
velut,"even as, just as"
comes comitis m./f.,"companion, comrade; attendant, follower"
ob,"against, on account of (+acc)"
studium -ī n.,"eagerness, zeal"
facilis -e,easy
nūmen -inis n.,"divine will, deity"
sapiēns -ntis,"wise; (as subst.) wise man, sage, philosopher"
sūmō sūmere sūmpsī sūmptum,take up
nōbilis -e,"distinguished, noble; (as subst.) a nobleman or woman"
quīn,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)"
fleō flēre flēvī flētum,weep
plēnus -a -um,full
nemus nemoris n.,"grove, forest"
cārus -a -um,dear
dēsum -esse -fuī,be lacking
lēgātus -ī m.,"lieutenant, envoy"
discō -ere didicī,learn
furor -ōris m.,"rage, fury"
amnis -is m.,"river, torrent"
arbor arboris f.,tree
mox,soon
eō,"(adv.) there, to that place"
cīvis -is m./f.,citizen
occupō -āre,"seize, occupy; anticipate, do a thing first (+ infin.)"
spectō -āre,"look at, consider"
tergum -ī n.,"back, rear; ā tergō: from the rear"
crīmen -inis n.,"verdict, accusation"
dōnum -ī n.,"gift, present"
nōtus -a -um,well-known
sinus -ūs m.,"fold of a garment; lap, bay, gulf"
faciēs -ēī f.,"form, appearance"
membrum -ī n.,"limb, member of the body"
umquam,ever
aspiciō -ere -spēxī -spectum,"look to or at, behold"
prius or priusquam,before
templum -ī n.,consecrated ground
pōscō pōscere popōscī,"demand, claim; inquire into"
perdō -dere -didī -ditum,destroy
quamvīs,however you like
tener -era -erum,tender
currus -ūs m.,chariot
precor -ārī,"pray, invoke"
anima -ae f.,"breath, spirit"
contingō -tingere -tigī -tactum,"touch, be contiguous to"
lībertās -ātis f.,freedom
servus -ī m.,slave
soror -ōris f.,sister
fluctus -ūs m,"flood, billow, surf"
quīppe,"(adv.) indeed, surely"
exigō -igere -ēgī -āctum,drive out
fēmina -ae f.,woman
nimius -a -um,"too much, excessive"
fallō fallere fefellī falsum,deceive
mīror mīrārī mīrātus sum,"wonder at, marvel at (+ acc.)"
classis -is f.,"class, division, fleet"
sedeō sedēre sēdī sessum,sit
singulī -ae -a,one each
mūrus -ī m.,wall
noceō nocēre nocuī,harm
quoniam,"since, seeing that"
fax facis f.,torch
intellegō -legere -lēxī -lēctum:,understand
iungō iungere iūnxī iūnctum,join
afferō afferre attulī allātum,bring to
cōgitō -āre,"think, reflect"
līmen līminis n.,threshold
pūblicus -a -um,"public, belonging to the state"
queror querī questus sum,"complain of, lament"
exemplum -ī n.,"example, sample, copy"
prex precis f.,"prayers, entreaties"
dubitō -āre,"hesitate, doubt"
odium -ī n.,hatred
fundō fundere fūdī fūsum,"pour, scatter"
fūnus fūneris n.,funeral
nesciō -scīre,"not know, be ignorant"
prior prius,"earlier, preceding"
ūsque,up to
dubius -a -um,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly"
tendō tendere tetendī tentum,"stretch, extend, direct (one’s steps or course)"
pecūnia -ae f.,money
quemadmodum,"in what manner, how"
spargō spargere sparsī sparsum,scatter
trēs tria,three
tangō tangere tetigī tāctum,touch
respondeō -spondēre -spondī -spōnsum,answer
timor -ōris m.,fear
properō -āre,"hasten, speed"
subeō -īre -iī -itum,go under
condō -dere -didī -ditum,"build, found; store up; hide, conceal"
nefās n. indecl.,"impiety, wickedness"
quondam,"formerly, once"
auxilium -ī n.,"support, assistance; (pl.) auxiliary forces"
dēserō -ere dēseruī dēsertum,"leave, desert, abandon"
nūdus -a -um,"naked, bare"
auctor -ōris m.,"originator, founder"
animal -ālis n.,"a living being, an animal"
decus decoris n.,"beauty, grace; ornament, glory, honor"
salūs -ūtis f.,"health, safety"
rogō -āre,ask
adeō,"(adv.) to such a degree, so"
auferō auferre abstulī ablātum,take away
quantum,(adv.) how much? how greatly? how much! how greatly! as much as
senex -is m.,"old man, elder; senior, older"
frōns frontis f.,"forehead, brow; front"
propter,because of (+ acc.)
rēgius -a -um,"kingly, royal"
currō currere cucurrī cursum,run
pellō pellere pepulī pulsum,"strike, beat, push, drive"
dīves dīvitis,"rich (poet. dīs, dītis)"
iūdicō -āre,"judge, decide"
pecus -oris n.,"cattle, sheep"
potēns potentis,"able, powerful"
scrībō scrībere scrīpsī scrīptum,write
pulcher -chra -chrum,beautiful
surgō surgere surrēxī surrēctum,rise
cēterum,"for the rest, in addition, however that may be"
careō -ēre -uī,lack (+ abl.)
efficiō -ficere -fēcī -fectum,"bring about, complete; render (+ ut + subj.)"
ōlim,"formerly, at that time"
sermō -ōnis m.,"conversation, discourse"
exerceō -ercēre -ercuī -ercitum,"train, exercise, carry on"
gradus -ūs m.,"step, pace; grade, rank"
agitō -āre,drive
forte,by chance
honestus -a -um,honorable
moror morārī morātus sum,delay
praesidium -ī n.,"garrison, protection"
sonō sonāre sonuī sonitum,"sound, resound"
praebeō -ēre -uī -itum,"furnish, supply, render"
sententia -ae f.,"opinion, judgment"
ācer ācris ācre,"sharp, piercing"
suprā,"above, beyond (adv. and prep. +acc.)"
brevis -e,"short, shallow, brief"
citus -a -um,swift
ingrātus -a -um:,"unpleasant, disagreeable"
moenia -ium n. pl.,"walls, fortifications"
vinculum -ī n.,"bond, fetter, tie"
adeō -īre -iī -itum,go to
cēterus -a -um,"the other, the others, the rest"
exeō -īre -iī -itum,go forth
mālō mālle māluī,prefer
speciēs -ēī f.,"aspect, appearance"
certē,"certainly, surely"
imperō -āre,"command, control"
male,(adv.) badly
prohibeō -ēre -uī -itum,"restrain, keep away"
clāmor -ōris m.,"outcry, shout"
dōnō -āre,present with a gift (+ acc. of person and abl. of thing)
officium -ī n.,"service, duty"
committō -mittere -mīsī -missum,"join, entrust to (+ dat.); perform, do"
crēscō crēscere crēvī crētum,"grow, increase"
aequus -a -um,equal
factum -ī n.,"deed, accomplishment"
caedō caedere cecīdī caesum,"strike, kill, cut down"
exīstimō -āre,"think, believe"
accēdō -cēdere -cessī -cessum,approach
contemnō -temnere -tempsī -temptum,"despise, scorn, disdain"
pudor pudōris m.,"sense of shame, modesty, propriety"
ārdeō ārdēre ārsī ārsum,"blaze, glow; be eager"
prōvincia -ae f.,province
quandō,when?
custōs custōdis m.,guardian
supersum -esse -fuī,"remain, survive; be superfluous (to)"
dēsinō -sinere -siī -situm,"leave off, cease"
fessus -a -um,"weary, tired"
praeda -ae f.,"booty, prey"
memoria -ae f.,"recollection, memory"
dīvidō -ere dīvīsī dīvīsum,"divide, separate"
pretium -ī n.,"price, worth, reward; pretium operae: a reward for trouble"
varius -a -um,"changing, varied, various"
vehō vehere vēxī vectum,"carry; vehor vehī vectus sum: travel, ride"
falsus -a -um,"deceptive, false"
niger nigra nigrum,black
oppidum -ī n.,town
pondus ponderis n.,weight
arx arcis f.,"citadel, castle; summit"
sors sortis f.,"lot, fate, destiny; oracle"
dīversus -a -um,"different, diverse"
ecce,behold!
quamquam,"however, although"
cōnferō cōnferre contulī collātum,"collect, bring to"
facinus facinoris n.,"deed, crime"
retineō -tinēre -tinuī -tentum,"hold back, keep"
spērō -āre,to hope
plēbs plēbis f.,the common people
pūgna -ae f.,fist-fight
repetō -petere -petīvī -petītum,"demand, exact; revisit; call to mind, recollect; repeat"
cōnstituō -stituere -stituī -stitūtum,"establish, put together"
dēfendō -fendere -fendī -fēnsum,"defend, ward off"
marītus -ī m.,husband
superbus -a -um,"overbearing, proud, haughty"
adversus -a -um,"facing, opposed; unfavorable"
morbus -ī m.,"sickness, disease"
sānctus -a -um,"sacred, inviolable"
commūnis -e,"common, general"
dēdūcō -dūcere -dūxī -ductum,"launch, lead away"
rīpa -ae f.,bank of a river
concēdō -cēdere -cessī -cessum,"yield, withdraw"
hōra -ae f.,hour
vetō -āre vetuī vetītum,forbid
cohors cohortis f.,"cohort, band, troop"
gīgnō gīgnere genuī genitum,"beget, bear, bring forth"
superō -āre,"overcome, surpass, defeat"
maestus -a -um,"sad, sorrowful; depressing"
meminī meminisse,"remember, recollect"
impleō -ēre -plēvī -plētum,"fill in, fill up"
māgnitūdō -inis f.,"greatness, size"
vacuus -a -um,empty
vagus -a -um,"wandering, shifting"
vulgus -ī n. and m.,the common people
deficiō -ficere -fēcī -fectum,"fail, give out; revolt from"
occurrō -currere -cucurrī -cursum,run to meet
statuō -ere -uī -ūtum,"set up, determine"
ideō,for this reason
praemium -ī n.,"bounty, reward"
praetereā,"besides, moreover"
tertius -a -um,third
supplicium -ī n.,"punishment, penalty"
vātēs -is m.,"poet, bard"
astrum -ī n.,star
undique,"from all sides, on all sides"
canis -is m./f.,dog
ēdō ēdere ēdidī ēditum,"put forth, state, explain"
fateor fatērī fassus sum,"admit, confess; profess, declare; assent, say yes"
amīcitia -ae f.,friendship
aureus -a -um,golden
candidus -a -um,"white, fair"
interim,meanwhile
frūstrā,in vain
lateō latēre latuī,"lie hidden, be hidden"
os ossis n.,bone
conveniō -venīre -vēnī -ventum,"assemble, meet; agree"
interficiō -ficere -fēcī -fectum,kill
dolus -ī m.,"artifice, device, trick"
permittō -mittere -mīsī -missum,"yield, allow, permit"
spīritus -ūs m.,"breath, life, spirit"
intrā,within (+ acc.)
fōns fontis m.,"spring, fountain"
invidia -ae f.,"envy, jealousy, hatred"
pugnō -āre,fight
augeō augēre auxī auctum,increase
moneō monēre monuī monitum,"warn, advise"
dīvitiae -ārum f. pl.,"riches, wealth"
experior -perīrī -pertus sum,"try thoroughly, test, experience"
superī -ōrum m. pl.,"those above, i.e. the gods"
ōtium -ī n.,leisure
vestīgium -ī n.,"footstep, footprint, track"
sinō sinere sīvī situm,"allow, let go"
decet decēre decuīt,"it is right, proper, fitting (+ acc. + infin.)"
effundō -fundere -fūdī -fūsum,pour out
prōmittō -mittere -mīsī -missum,"send forth, offer"
fingō fingere fīnxī fīctum,shape
respicio -ere -spēxī -spectum,"look back, regard, consider"
imperātor -ōris m.,commander
vacō vacāre,"be empty, open, unoccupied"
color -ōris m.,color
discēdō -ere -cessī -cessum,"go away, depart"
gaudium -ī n.,"delight, joy, pleasure"
caecus -a -um,"blind, unseeing; dark, obscure"
libet libēre libuit or libitum est,it is pleasing (+ dat. + infin.)
centum,one hundred
cōnstō -stāre -stitī,"agree; constat, it is established that (+ acc. and infin.)"
lingua -ae f.,tongue
multitūdō -inis f.,"multitude, number"
circā,around (adv. and prep. +acc.)
ōrātiō -ōnis f.,"speech, address"
potestās -ātis f.,power
tardus -a -um,"slow, sluggish, lingering"
for fārī fātus sum,"report, say"
humus -ī f.,ground
testis -is m.,witness
īnferō īnferre intulī illātum,"bring upon, against; bellum īnferre: make war on"
cūrō -āre,"watch over, look after, care for (+ acc.)"
aes aeris n.,"copper, bronze"
celer -is -e,swift
prōcēdō -cēdere -cessī -cessum,"go forth, advance"
mēnsa -ae f.,table
pius -a -um,"dutiful, devoted, just, pious"
iūdicium -ī n.,"judgment, decision, trial"
victōria -ae f.,victory
damnō -āre,condemn
rārus -a -um,"wide apart, loose, thin; rare, seldom"
tempestas -tātis f.,"period of time, season; bad weather, storm"
imāgō -inis f.,"image, form, figure"
ōrō -āre,pray
praeter,"by, along, past; besides, except (+ acc.)"
cōnsulō -sulere -suluī -sultum,"consult, plan (+ acc.); consider the interests of (+dat)"
iterum,again
porta -ae f.,gate
intersum -esse -fuī,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)"
libīdō -inis f.,"passion, lust"
sustineō sustinēre sustinuī sustentum,"hold up, sustain"
aliquandō,"at some time, at length"
māiōrēs māiōrum m.,ancestors
intrō -āre,enter
pietās -tātis f.,"sense of duty, devotion, esp. between parents and children"
barbarus -ī m.,"foreigner, barbarian"
culpa -ae f.,"guilt, fault, blame"
iūstus -a -um,"right, just, fair"
dōnec,until
fluō fluere fluxī fluxum,flow
necesse (indecl. adj.),necessary
tenebrae -brārum f. pl.,"darkness, the shadows"
saeculum -ī n.,"generation, age, century"
dīmittō -mittere -mīsī -missum,send away
licet,even though
cinis cineris m./f.,"ashes, embers"
cōnsistō -sistere -stitī,"take position; consist in, be composed of"
recēns -ntis,"fresh, new"
aliter,"otherwise, differently"
laedō laedere laesī laesum,"injure by striking, hurt"
probō -āre,"approve, prove; convince one (dat.) of a thing (acc.)"
doleō -ēre doluī,"feel pain or grief, grieve"
quārē,how? why?
antequam,before
reliquus -a -um,"remaining, rest"
semel,once
ōdī ōdisse,hate
sīcut,just as
peccō -āre,"commit a wrong, injure"
sēnsus -ūs m.,"feeling, emotion, sense"
exsilium -ī n.,"exile, banishment"
cor cordis n.,"heart; cordī est, it is pleasing to (+ dat.)"
statim,immediately
accidō -cidere -cidī,fall
dēcernō -cernere -crēvī -crētum,"determine, decide"
occīdō -cīdere -cīdī -cīsum,"kill, cut down"
dēscendō -scendere -scendī -scēnsum,"climb down, descend"
contineō -tinēre -tinuī -tentum,"contain, restrain"
dēferō -ferre -tulī -lātum,"carry away, report"
oportet -ēre -uit,"it is proper, right (+ acc. + infin.)"
tribūnus -ī m.,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī"
bōs bovis m.,ox
īrāscor īrāscī īrātus sum,grow angry
aeger aegra aegrum,sick
offerō offerre obtulī oblātum,"present, offer, expose"
revocō -āre,"call back, recall"
cingō cingere cīnxī cīnctum,"encircle, surround, gird"
integer -gra -grum:,"untouched, fresh, complete, whole"
validus -a -um,strong
alō alere aluī alitum,nourish
flōs flōris m.,"flower, bloom"
īctus -ūs m.,"blow, stroke"
colligō -ere -lēgī -lēctum,"gather together, collect"
praesēns -ntis,"present, in person, ready"
rēctus -a -um,"straight, direct"
lātus -a -um,"broad, wide"
praeceptum -ī n.,"rule, precept; command"
recēdō -cēdere -cessī -cessum,"step back, recoil, recede, withdraw"
utrum,whether
famēs -is f.,"hunger, famine"
pariō parere peperī partum,"bring forth, give birth to; accomplish"
appāreō -ēre -uī,"appear, become visible"
quōmodo,"in what way, how?"
